x1,x2,x3,y
37,3,28,224.32
31,37,1,37.15
14,30,32,142.55
18,42,11,48.92
3,34,32,138.21
21,5,16,109.80
48,24,3,89.66
27,9,39,241.09
23,25,27,156.04
19,44,17,77.25
30,12,44,272.33
20,43,24,129.03
9,30,16,58.35
29,40,25,153.28
3,38,1,-24.71
16,9,13,92.45
20,35,24,113.63
16,21,43,227.35
36,29,28,197.85
31,5,42,256.20
38,21,33,200.22
11,15,27,124.57
16,3,3,46.66
32,20,39,262.85
43,5,35,267.24
6,10,25,143.73
37,24,39,245.99
10,8,7,60.98
29,11,13,109.29
23,28,27,159.13
29,16,44,259.33
18,10,40,220.51
34,12,8,97.33
18,30,20,101.24
11,43,42,202.08
12,12,31,168.95
23,21,28,169.00
15,1,35,200.62
46,3,22,211.56
21,16,6,48.68
17,29,26,141.60
38,11,25,186.49
32,44,16,90.61
48,34,18,147.11
34,31,39,223.95
32,5,11,111.87
32,44,30,166.61
26,9,27,181.12
35,38,23,152.65
35,25,32,203.53
45,11,36,258.74
29,7,27,188.89
3,1,29,144.60
35,5,4,92.08
23,6,10,98.42
7,39,30,127.04
32,9,30,228.95
28,33,29,177.17
22,47,17,80.88
45,30,28,196.38
22,42,34,169.68
34,10,48,292.98
16,21,40,222.29
3,44,13,20.02
42,38,37,230.19
41,31,2,55.71
8,19,28,147.46
16,46,19,66.81
6,3,39,200.38
36,7,19,158.78
11,43,31,137.19
10,24,39,195.61
26,13,23,151.84
12,6,38,217.89
13,28,14,71.15
7,44,20,94.68
30,48,49,241.92
45,34,47,297.21
28,29,43,231.55
48,36,14,122.02
18,39,24,136.85
8,41,41,197.45
1,14,28,109.44
40,27,25,175.77
42,13,5,95.34
28,6,4,48.68
23,17,24,148.51
30,28,49,280.93
13,41,48,227.17
19,30,45,213.06
19,33,32,176.08
33,17,26,181.45
29,41,22,126.38
23,47,18,81.46
31,29,31,195.12
38,31,6,84.18
45,35,47,285.18
24,47,26,131.90
11,39,27,126.27
47,37,5,62.45
39,47,20,132.17
2,38,21,51.93
42,21,5,78.77
48,26,40,274.70
24,19,39,222.56
12,16,11,59.00
20,7,36,210.04
4,15,37,186.48
48,5,27,233.07
13,37,37,166.13
29,38,2,32.93
26,13,22,144.29
37,13,34,255.04
37,49,21,122.61
4,43,45,186.87
38,4,3,83.51
37,24,26,175.61
21,39,41,209.41
11,11,8,53.73
39,23,11,93.81
2,47,35,126.27
33,23,6,59.80
26,29,37,220.36
23,4,10,116.65
29,46,31,180.83
40,29,47,289.46
29,39,12,89.23
23,28,22,129.67
36,33,30,205.57
25,13,7,78.68
28,42,10,61.70
3,12,41,187.70
41,13,37,247.60
28,24,36,215.14
25,4,39,228.74
4,11,20,94.78
15,4,38,229.40
12,7,41,222.29
37,24,12,129.85
20,3,26,181.47
39,49,28,166.12
5,23,49,218.41
13,32,11,48.52
11,26,49,236.19
30,22,3,56.78
12,12,38,218.14
46,27,10,103.77
33,42,45,245.11
26,7,26,178.32
8,16,7,46.35
28,47,41,219.11
20,47,19,92.14
35,42,7,76.45
23,34,40,216.94
31,39,16,100.63
35,19,1,56.57
43,11,44,287.93
25,45,15,85.47
7,33,41,195.43
49,31,7,72.20
37,26,38,250.18
14,19,23,123.43
5,13,40,201.61
36,34,2,54.62
5,26,3,-23.95
2,42,28,90.04
22,12,47,263.67
4,23,21,82.09
41,31,11,108.74
2,14,9,29.85
19,13,16,87.89
16,25,40,213.12
35,38,39,238.00
27,36,49,268.64
